Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
75,0.2,"<tibble[,3]>",0.8900756185047102,8.09716285320057,0.3504567011603647,0.22179696506644878,-0.20035689030870832,women_taller
75,0.5,"<tibble[,3]>",0.9989200839034212,924.9978651749392,12.186654350095916,0.0025688037330814026,-0.5008922257717636,women_taller
75,0.8,"<tibble[,3]>",0.999999539297085,2170595.206610834,6267.778650408336,2.40458300509344e-6,-0.8014275612348191,women_taller
14,0.1,"<tibble[,3]>",0.6051892049313421,1.5328588085492938,0.36276017834933494,0.7917263369563374,0.1008416891793653,men_taller
14,0.2,"<tibble[,3]>",0.7031922515873437,2.3691842795481373,0.39307089452550115,0.5981481979319103,0.2016833783587306,men_taller
14,0.5,"<tibble[,3]>",0.9088997360573694,9.976916605090633,0.6817192699094862,0.19376861034894952,0.5042084458968193,men_taller
14,0.8,"<tibble[,3]>",0.9835956387550805,59.95939884947983,1.8056585472400626,0.04240418715944817,0.8067335134349081,men_taller
21,0.1,"<tibble[,3]>",0.6277576770295465,1.6864220919859625,0.316171455818792,0.7461836412770986,0.10058119248830481,men_taller
21,0.2,"<tibble[,3]>",0.7427480052415683,2.8872390511064223,0.35920601869936924,0.5182321241474266,0.20116238497660965,men_taller
21,0.5,"<tibble[,3]>",0.9484071337216025,18.382524603381242,0.863684714284774,0.11103686442022309,0.502905962441517,men_taller
21,0.8,"<tibble[,3]>",0.9954378647473343,218.19560570145447,4.095196804648591,0.012762271030246906,0.8046495399064243,men_taller
38,0.1,"<tibble[,3]>",0.6690735170139652,2.02181919977133,0.25799963895890393,0.6631267327966339,0.10033641816391423,men_taller
38,0.2,"<tibble[,3]>",0.8091348525922772,4.239301221735458,0.33052979539736516,0.3845604484220836,0.20067283632782845,men_taller
38,0.5,"<tibble[,3]>",0.9856207619892708,68.54471434813532,1.8152245577253814,0.03191955868669482,0.501682090819564,men_taller
38,0.8,"<tibble[,3]>",0.9997663657142222,4279.193708172393,37.026167601401305,7.947409884811787e-4,0.8026913453112996,men_taller
79,0.1,"<tibble[,3]>",0.7355082225538823,2.7808358719345074,0.20599576459197055,0.5299044856674224,0.10016995257470668,men_taller
79,0.2,"<tibble[,3]>",0.8960059227569619,8.615932238746282,0.3559238848939273,0.2098689461387915,0.2003399051494134,men_taller
79,0.5,"<tibble[,3]>",0.9991774563214031,1214.7409095961277,15.131537206998969,0.0019713189037220916,0.5008497628735264,men_taller
79,0.8,"<tibble[,3]>",0.9999997628988025,4217607.389466675,11045.162790256676,1.2961890022441753e-6,0.8013596205976394,men_taller
10,0.1,"<tibble[,3]>",0.5939844622823627,1.4629599291233233,0.40543860434775136,0.8147169681051962,-0.10635035846253117,teachers_more
10,0.2,"<tibble[,3]>",0.6828250372515843,2.152833979500467,0.43055213988488383,0.6400708524450293,-0.21270071692506234,teachers_more
10,0.5,"<tibble[,3]>",0.8827866897527269,7.531454302334779,0.6488775139024774,0.24987656353534332,-0.5317517923126559,teachers_more
10,0.8,"<tibble[,3]>",0.9714440242266243,34.01893992123189,1.3298197604580622,0.07323508338621769,-0.8508028677002494,teachers_more
23,0.1,"<tibble[,3]>",0.6334217034990243,1.7279301844792612,0.3064223634902059,0.7347792278946539,-0.10053464947402274,teachers_more
